author,recipeingredient,recipeyield,preptime,cooktime,recipecategory,totaltime,recipecuisine,aggregaterating,nutrition,interactioncount
0,-1,0,-1,-1,1,-1,0,0,-1,0
0,-1,0,-1,-1,2,-1,0,0,-1,0
0,-1,0,-1,-1,2,-1,0,0,-1,1
0,-1,0,-1,-1,3,-1,0,0,-1,2
0,-1,0,-1,-1,4,-1,0,0,-1,3
0,-1,0,-1,-1,4,-1,0,0,-1,4
0,-1,0,1,1,4,1,0,0,-1,5
0,-1,0,-1,-1,4,-1,0,0,-1,6
0,-1,1,-1,-1,4,-1,0,0,-1,7
0,-1,2,1,1,4,1,0,0,-1,7
0,-1,2,1,1,4,1,0,0,-1,7
0,-1,2,-1,-1,5,-1,0,0,-1,7
0,-1,2,-1,-1,6,-1,0,0,-1,7
0,-1,2,-1,-1,6,-1,0,0,-1,7
0,-1,2,-1,-1,6,-1,0,0,-1,7
0,-1,2,-1,-1,6,-1,0,0,-1,8
0,1,2,-1,-1,7,-1,0,0,-1,9
0,-1,2,-1,-1,8,-1,0,0,-1,9
0,-1,2,-1,-1,8,-1,0,0,-1,9
0,-1,2,2,2,8,2,0,0,-1,9
0,-1,2,3,2,8,3,0,0,-1,9
0,-1,2,-1,-1,8,-1,0,0,-1,10
0,-1,2,-1,-1,9,-1,0,0,-1,11
0,-1,2,-1,-1,10,-1,0,0,-1,12
0,-1,2,-1,-1,10,-1,0,0,-1,13
0,-1,2,3,3,10,4,0,0,-1,13
0,-1,2,-1,-1,11,-1,0,0,-1,13
0,-1,2,-1,-1,12,-1,0,0,-1,13
0,-1,2,4,4,13,5,0,0,-1,13
0,-1,2,-1,-1,14,-1,0,0,-1,14
0,-1,2,-1,-1,15,-1,0,0,-1,15
0,-1,2,-1,-1,16,-1,0,0,-1,16
0,-1,2,-1,-1,17,-1,0,0,-1,16
0,-1,2,-1,-1,18,-1,0,0,-1,16
0,-1,2,-1,-1,19,-1,0,0,-1,16
0,-1,2,-1,-1,20,-1,0,0,-1,16
0,-1,2,-1,-1,21,-1,0,0,-1,17
0,-1,2,-1,-1,22,-1,0,0,-1,18
0,-1,2,-1,-1,22,-1,0,0,-1,19
0,-1,2,5,4,23,6,0,0,-1,20
0,-1,2,-1,-1,24,-1,0,0,-1,20
0,-1,2,6,5,25,7,0,0,-1,20
0,-1,2,-1,-1,26,-1,0,0,-1,20
0,-1,2,-1,-1,26,-1,0,0,-1,20
0,-1,2,-1,-1,26,-1,0,0,-1,21
0,-1,2,-1,-1,26,-1,0,0,-1,22
0,-1,2,-1,-1,26,-1,0,0,-1,23
0,-1,2,7,6,27,8,0,0,-1,24
0,-1,3,8,6,28,9,0,0,-1,24
0,-1,4,-1,-1,28,-1,0,0,-1,24
0,-1,4,9,6,28,10,0,0,-1,24
0,-1,4,-1,-1,29,-1,0,0,-1,24
0,-1,4,-1,-1,30,-1,0,0,-1,24
0,-1,4,-1,-1,30,-1,0,0,-1,24
0,-1,4,-1,-1,31,-1,0,0,-1,25
0,-1,4,10,7,32,11,0,0,-1,26
0,-1,4,-1,-1,33,-1,0,0,-1,26
0,-1,4,-1,-1,34,-1,0,0,-1,26
0,-1,4,-1,-1,35,-1,0,0,-1,26
0,-1,4,10,8,36,12,0,0,-1,27
0,-1,4,-1,-1,37,-1,0,0,-1,28
0,-1,4,-1,-1,38,-1,0,0,-1,28
0,-1,4,-1,-1,38,-1,0,0,-1,28
0,-1,4,-1,-1,38,-1,0,0,-1,29
0,-1,4,11,9,38,13,0,0,-1,30
0,-1,4,-1,-1,38,-1,0,0,-1,30
0,-1,4,-1,-1,38,-1,0,0,-1,30
0,-1,4,-1,-1,38,-1,0,0,-1,30
0,-1,4,-1,-1,39,-1,0,0,-1,31
0,-1,4,-1,-1,40,-1,0,0,-1,32
0,-1,4,12,10,41,13,0,0,-1,32
0,-1,4,-1,-1,41,-1,0,0,-1,32
0,-1,4,-1,-1,42,-1,0,0,-1,32
0,-1,4,13,11,43,14,0,0,-1,33
0,-1,4,14,12,44,15,0,0,-1,34
0,-1,4,-1,-1,44,-1,0,0,-1,35
0,-1,4,-1,-1,45,-1,0,0,-1,35
0,-1,4,-1,-1,46,-1,0,0,-1,35
0,-1,4,15,13,46,16,0,0,-1,35
0,-1,4,-1,-1,47,-1,0,0,-1,36
0,-1,4,-1,-1,47,-1,0,0,-1,36
0,-1,4,-1,-1,48,-1,0,0,-1,37
