startdate,enddate,location,offers
0,1,-1,-1
1,2,-1,-1
2,3,-1,-1
3,4,-1,-1
4,5,-1,-1
5,6,-1,-1
6,7,-1,-1
7,-1,-1,-1
8,8,-1,-1
9,-1,-1,-1
10,-1,-1,-1
11,-1,-1,-1
12,-1,-1,-1
13,9,-1,-1
14,10,-1,-1
15,11,-1,-1
16,12,-1,-1
17,13,-1,-1
18,14,-1,-1
19,15,-1,-1
20,16,-1,-1
21,-1,-1,-1
22,-1,-1,-1
23,17,-1,-1
24,18,-1,-1
25,-1,-1,-1
26,-1,-1,-1
27,-1,-1,-1
28,19,-1,-1
29,20,-1,-1
30,21,-1,-1
31,22,-1,-1
32,23,-1,-1
33,-1,-1,-1
34,-1,-1,-1
35,-1,-1,-1
36,24,-1,-1
37,25,-1,-1
38,26,-1,-1
39,27,-1,-1
40,28,-1,-1
41,29,-1,-1
42,-1,-1,-1
43,-1,-1,-1
44,30,-1,-1
45,-1,-1,-1
46,31,-1,-1
47,32,-1,-1
48,33,-1,-1
49,34,-1,-1
50,35,-1,-1
51,36,-1,-1
52,37,-1,-1
53,-1,-1,-1
54,38,-1,-1
55,39,-1,-1
56,-1,-1,-1
57,-1,-1,-1
58,40,-1,-1
59,41,-1,-1
60,42,-1,-1
61,43,-1,-1
62,44,-1,-1
63,-1,-1,-1
64,45,-1,-1
65,46,-1,-1
66,47,-1,-1
67,48,-1,-1
68,49,-1,-1
69,50,-1,-1
70,51,-1,-1
71,-1,-1,-1
72,52,-1,-1
73,53,-1,-1
74,-1,-1,-1
75,-1,-1,-1
76,54,-1,-1
77,-1,-1,-1
78,55,-1,-1
79,56,-1,-1
80,57,-1,-1
81,58,-1,-1
82,59,-1,-1
83,60,-1,-1
84,61,-1,-1
85,62,-1,-1
86,-1,-1,-1
87,63,-1,-1
88,-1,-1,-1
89,64,-1,-1
90,-1,-1,-1
91,-1,-1,-1
92,-1,-1,-1
93,65,-1,-1
94,-1,-1,-1
95,-1,-1,-1
96,66,-1,-1
97,67,-1,-1
98,68,-1,-1
99,69,-1,-1
100,70,-1,-1
101,71,-1,-1
102,72,-1,-1
103,73,-1,-1
104,74,-1,-1
105,75,-1,-1
106,-1,-1,-1
107,76,-1,-1
108,77,-1,-1
109,-1,-1,-1
110,78,-1,-1
111,79,-1,-1
112,80,-1,-1
113,81,-1,-1
114,82,-1,-1
115,83,-1,-1
116,84,-1,-1
117,-1,-1,-1
118,85,-1,-1
119,86,-1,-1
120,87,-1,-1
121,88,-1,-1
122,89,-1,-1
123,-1,-1,-1
124,-1,-1,-1
125,90,-1,-1
126,91,-1,-1
127,-1,-1,-1
128,-1,-1,-1
129,92,-1,-1
130,93,-1,-1
131,94,-1,-1
132,-1,-1,-1
133,-1,-1,-1
134,95,-1,-1
135,96,-1,-1
136,97,-1,-1
137,98,-1,-1
138,99,-1,-1
139,100,-1,-1
140,101,-1,-1
141,102,-1,-1
142,103,-1,-1
143,104,-1,-1
144,-1,-1,-1
145,-1,-1,-1
146,105,-1,-1
147,-1,-1,-1
148,106,-1,-1
149,-1,-1,-1
150,107,-1,-1
151,108,-1,-1
152,-1,-1,-1
153,109,-1,-1
154,-1,-1,-1
155,110,-1,-1
156,111,-1,-1
157,112,-1,-1
158,-1,-1,-1
159,113,-1,-1
160,114,-1,-1
161,115,-1,-1
162,116,-1,-1
163,-1,-1,-1
164,-1,-1,-1
165,117,-1,-1
166,118,-1,-1
167,-1,-1,-1
168,119,-1,-1
169,120,-1,-1
170,-1,-1,-1
171,121,-1,-1
172,122,-1,-1
173,123,-1,-1
174,124,-1,-1
175,125,-1,-1
176,126,-1,-1
177,127,-1,-1
178,-1,-1,-1
179,128,-1,-1
180,-1,-1,-1
181,-1,-1,-1
182,129,-1,-1
183,-1,-1,-1
184,-1,-1,-1
185,130,-1,-1
186,-1,-1,-1
187,-1,-1,-1
188,-1,-1,-1
189,-1,-1,-1
190,-1,-1,-1
191,-1,-1,-1
192,-1,-1,-1
193,-1,-1,-1
194,-1,-1,-1
195,-1,-1,-1
196,-1,-1,-1
197,-1,-1,-1
198,131,-1,-1
199,132,-1,-1
200,-1,-1,-1
201,-1,-1,-1
202,-1,-1,-1
203,-1,-1,-1
204,-1,-1,-1
205,-1,-1,-1
206,133,-1,-1
207,134,-1,-1
208,135,-1,-1
209,136,-1,-1
210,-1,-1,-1
211,-1,-1,-1
212,137,-1,-1
213,-1,-1,-1
214,138,-1,-1
215,139,-1,-1
216,140,-1,-1
217,-1,-1,-1
218,141,-1,-1
219,-1,-1,-1
220,142,-1,-1
221,143,-1,-1
222,144,-1,-1
223,145,-1,-1
224,146,-1,-1
225,147,-1,-1
226,148,-1,-1
227,149,-1,-1
228,150,-1,-1
229,151,-1,-1
230,152,-1,-1
231,153,-1,-1
232,154,-1,-1
233,-1,-1,-1
233,155,-1,-1
234,-1,-1,-1
235,-1,-1,-1
236,156,-1,-1
237,-1,-1,-1
238,-1,-1,-1
239,157,-1,-1
240,158,-1,-1
241,159,-1,-1
242,160,-1,-1
243,161,-1,-1
244,-1,-1,-1
245,-1,-1,-1
246,162,-1,-1
247,163,-1,-1
248,164,-1,-1
249,165,-1,-1
250,166,-1,-1
251,167,-1,-1
252,-1,-1,-1
253,-1,-1,-1
254,-1,-1,-1
255,168,-1,-1
256,169,-1,-1
257,-1,-1,-1
258,170,-1,-1
259,171,-1,-1
260,172,-1,-1
261,173,-1,-1
262,174,-1,-1
263,175,-1,-1
264,176,-1,-1
265,177,-1,-1
266,-1,-1,-1
267,178,-1,-1
268,179,-1,-1
269,-1,-1,-1
270,180,-1,-1
271,-1,-1,-1
272,181,-1,-1
273,182,-1,-1
274,183,-1,-1
275,184,-1,-1
276,-1,-1,-1
277,185,-1,-1
278,186,-1,-1
279,187,-1,-1
280,-1,-1,-1
281,188,-1,-1
282,189,-1,-1
283,190,-1,-1
284,191,-1,-1
285,-1,-1,-1
286,-1,-1,-1
287,-1,-1,-1
288,192,-1,-1
289,193,-1,-1
290,-1,-1,-1
291,194,-1,-1
292,195,-1,-1
293,-1,-1,-1
294,196,-1,-1
295,197,-1,-1
296,198,-1,-1
297,199,-1,-1
298,200,-1,-1
299,201,-1,-1
300,202,-1,-1
301,203,-1,-1
302,204,-1,-1
303,-1,-1,-1
304,-1,-1,-1
305,205,-1,-1
306,206,-1,-1
307,207,-1,-1
308,-1,-1,-1
309,208,-1,-1
310,209,-1,-1
311,210,-1,-1
312,211,-1,-1
313,-1,-1,-1
314,-1,-1,-1
315,212,-1,-1
316,213,-1,-1
317,-1,-1,-1
318,214,-1,-1
319,215,-1,-1
320,216,-1,-1
321,217,-1,-1
322,-1,-1,-1
323,218,-1,-1
324,-1,-1,-1
325,219,-1,-1
326,220,-1,-1
327,-1,-1,-1
328,221,-1,-1
329,222,-1,-1
330,223,-1,-1
331,224,-1,-1
332,225,-1,-1
333,-1,-1,-1
334,226,-1,-1
335,227,-1,-1
336,228,-1,-1
337,229,-1,-1
338,230,-1,-1
339,-1,-1,-1
340,231,-1,-1
341,232,-1,-1
342,233,-1,-1
343,234,-1,-1
344,235,-1,-1
345,-1,-1,-1
346,236,-1,-1
347,-1,-1,-1
348,-1,-1,-1
349,237,-1,-1
350,238,-1,-1
351,-1,-1,-1
352,239,-1,-1
353,-1,-1,-1
354,240,-1,-1
355,-1,-1,-1
356,241,-1,-1
357,242,-1,-1
358,243,-1,-1
359,-1,-1,-1
360,244,-1,-1
361,-1,-1,-1
362,-1,-1,-1
363,-1,-1,-1
364,245,-1,-1
365,246,-1,-1
366,247,-1,-1
367,-1,-1,-1
368,248,-1,-1
369,249,-1,-1
370,250,-1,-1
371,251,-1,-1
372,252,-1,-1
373,253,-1,-1
374,254,-1,-1
375,255,-1,-1
376,256,-1,-1
377,257,-1,-1
378,258,-1,-1
379,259,-1,-1
380,260,-1,-1
381,261,-1,-1
382,262,-1,-1
383,263,-1,-1
384,264,-1,-1
385,265,-1,-1
386,266,-1,-1
387,-1,-1,-1
388,-1,-1,-1
389,-1,-1,-1
390,-1,-1,-1
391,-1,-1,-1
392,-1,-1,-1
393,267,-1,-1
394,-1,-1,-1
395,-1,-1,-1
396,268,-1,-1
397,-1,-1,-1
398,-1,-1,-1
399,-1,-1,-1
400,269,-1,-1
401,270,-1,-1
402,271,-1,-1
403,-1,-1,-1
404,272,-1,-1
405,273,-1,-1
406,274,-1,-1
407,-1,-1,-1
408,275,-1,-1
409,276,-1,-1
410,277,-1,-1
411,-1,-1,-1
412,278,-1,-1
413,279,-1,-1
414,-1,-1,-1
415,280,-1,-1
416,281,-1,-1
417,-1,-1,-1
418,282,-1,-1
419,283,-1,-1
420,284,-1,-1
421,285,-1,-1
422,286,-1,-1
423,287,-1,-1
424,-1,-1,-1
425,288,-1,-1
426,289,-1,-1
427,290,-1,-1
428,291,-1,-1
429,-1,-1,-1
430,292,-1,-1
431,293,-1,-1
432,294,-1,-1
433,295,-1,-1
434,296,-1,-1
435,297,-1,-1
436,-1,-1,-1
437,-1,-1,-1
438,-1,-1,-1
439,298,-1,-1
440,299,-1,-1
441,300,-1,-1
442,301,-1,-1
443,302,-1,-1
444,303,-1,-1
445,304,-1,-1
446,305,-1,-1
447,306,-1,-1
448,307,-1,-1
449,-1,-1,-1
450,308,-1,-1
451,-1,-1,-1
452,-1,-1,-1
453,-1,-1,-1
454,309,-1,-1
455,310,-1,-1
456,-1,-1,-1
457,311,-1,-1
458,312,-1,-1
459,313,-1,-1
460,-1,-1,-1
461,314,-1,-1
462,-1,-1,-1
463,315,-1,-1
464,316,-1,-1
465,-1,-1,-1
466,317,-1,-1
467,318,-1,-1
468,-1,-1,-1
469,319,-1,-1
470,320,-1,-1
471,-1,-1,-1
472,-1,-1,-1
473,321,-1,-1
474,-1,-1,-1
475,-1,-1,-1
476,-1,-1,-1
477,322,-1,-1
478,-1,-1,-1
479,323,-1,-1
480,324,-1,-1
481,-1,-1,-1
482,-1,-1,-1
483,-1,-1,-1
484,-1,-1,-1
485,-1,-1,-1
486,325,-1,-1
487,326,-1,-1
488,327,-1,-1
489,328,-1,-1
490,-1,-1,-1
491,329,-1,-1
492,330,-1,-1
493,331,-1,-1
494,-1,-1,-1
495,-1,-1,-1
496,332,-1,-1
497,333,-1,-1
498,334,-1,-1
499,-1,-1,-1
500,-1,-1,-1
501,335,-1,-1
502,336,-1,-1
503,337,-1,-1
504,338,-1,-1
505,-1,-1,-1
506,339,-1,-1
507,340,-1,-1
508,341,-1,-1
509,-1,-1,-1
510,342,-1,-1
511,343,-1,-1
512,344,-1,-1
513,345,-1,-1
514,-1,-1,-1
515,-1,-1,-1
516,346,-1,-1
517,347,-1,-1
518,348,-1,-1
519,-1,-1,-1
520,349,-1,-1
521,350,-1,-1
522,351,-1,-1
523,-1,-1,-1
524,352,-1,-1
525,353,-1,-1
526,354,-1,-1
527,-1,-1,-1
528,355,-1,-1
529,-1,-1,-1
530,356,-1,-1
531,-1,-1,-1
532,-1,-1,-1
533,357,-1,-1
534,358,-1,-1
535,-1,-1,-1
536,-1,-1,-1
537,-1,-1,-1
538,359,-1,-1
539,-1,-1,-1
540,360,-1,-1
541,361,-1,-1
542,362,-1,-1
543,363,-1,-1
544,364,-1,-1
545,365,-1,-1
546,-1,-1,-1
547,366,-1,-1
548,367,-1,-1
549,-1,-1,-1
550,-1,-1,-1
551,-1,-1,-1
552,368,-1,-1
553,369,-1,-1
554,370,-1,-1
555,371,-1,-1
556,372,-1,-1
557,-1,-1,-1
558,373,-1,-1
559,374,-1,-1
560,-1,-1,-1
561,375,-1,-1
562,376,-1,-1
563,-1,-1,-1
564,377,-1,-1
565,378,-1,-1
566,379,-1,-1
567,380,-1,-1
568,381,-1,-1
569,382,-1,-1
570,383,-1,-1
571,384,-1,-1
572,385,-1,-1
573,386,-1,-1
574,387,-1,-1
575,-1,-1,-1
576,388,-1,-1
577,389,-1,-1
578,390,-1,-1
579,391,-1,-1
580,392,-1,-1
581,-1,-1,-1
582,-1,-1,-1
583,393,-1,-1
584,394,-1,-1
585,-1,-1,-1
586,-1,-1,-1
587,395,-1,-1
588,396,-1,-1
589,397,-1,-1
590,398,-1,-1
591,399,-1,-1
592,-1,-1,-1
593,-1,-1,-1
594,400,-1,-1
595,401,-1,-1
596,402,-1,-1
597,-1,-1,-1
598,403,-1,-1
599,-1,-1,-1
600,404,-1,-1
601,405,-1,-1
602,406,-1,-1
603,407,-1,-1
604,-1,-1,-1
605,408,-1,-1
606,409,-1,-1
607,410,-1,-1
608,411,-1,-1
609,412,-1,-1
610,-1,-1,-1
611,-1,-1,-1
612,413,-1,-1
613,-1,-1,-1
614,414,-1,-1
615,-1,-1,-1
616,415,-1,-1
617,416,-1,-1
618,-1,-1,-1
619,417,-1,-1
620,-1,-1,-1
621,418,-1,-1
622,-1,-1,-1
623,419,-1,-1
624,420,-1,-1
625,-1,-1,-1
626,421,-1,-1
627,422,-1,-1
628,423,-1,-1
629,424,-1,-1
630,-1,-1,-1
631,425,-1,-1
632,426,-1,-1
633,427,-1,-1
634,-1,-1,-1
635,-1,-1,-1
636,428,-1,-1
637,429,-1,-1
638,-1,-1,-1
639,430,-1,-1
640,-1,-1,-1
641,-1,-1,-1
642,431,-1,-1
643,432,-1,-1
644,433,-1,-1
645,434,-1,-1
646,435,-1,-1
647,436,-1,-1
648,-1,-1,-1
649,437,-1,-1
650,438,-1,-1
651,439,-1,-1
652,440,-1,-1
653,-1,-1,-1
654,441,-1,-1
655,442,-1,-1
656,443,-1,-1
657,-1,-1,-1
658,-1,-1,-1
659,444,-1,-1
660,-1,-1,-1
661,-1,-1,-1
662,445,-1,-1
663,446,-1,-1
664,447,-1,-1
665,-1,-1,-1
666,-1,-1,-1
667,448,-1,-1
668,-1,-1,-1
669,-1,-1,-1
670,449,-1,-1
671,-1,-1,-1
672,-1,-1,-1
673,-1,-1,-1
674,-1,-1,-1
675,450,-1,-1
676,451,-1,-1
677,-1,-1,-1
678,-1,-1,-1
679,452,-1,-1
680,453,-1,-1
681,454,-1,-1
682,-1,-1,-1
683,455,-1,-1
684,456,-1,-1
685,457,-1,-1
686,458,-1,-1
687,-1,-1,-1
688,459,-1,-1
689,460,-1,-1
690,461,-1,-1
691,462,-1,-1
692,-1,-1,-1
693,-1,-1,-1
694,463,-1,-1
695,464,-1,-1
696,465,-1,-1
697,466,-1,-1
698,467,-1,-1
699,468,-1,-1
700,469,-1,-1
701,-1,-1,-1
702,470,-1,-1
703,471,-1,-1
704,472,-1,-1
705,-1,-1,-1
706,-1,-1,-1
707,473,-1,-1
708,474,-1,-1
709,475,-1,-1
710,476,-1,-1
711,477,-1,-1
712,478,-1,-1
713,-1,-1,-1
714,479,-1,-1
715,480,-1,-1
716,481,-1,-1
717,482,-1,-1
718,483,-1,-1
719,484,-1,-1
720,485,-1,-1
721,486,-1,-1
722,487,-1,-1
723,488,-1,-1
724,489,-1,-1
725,490,-1,-1
726,-1,-1,-1
727,-1,-1,-1
728,491,-1,-1
729,-1,-1,-1
730,492,-1,-1
731,493,-1,-1
732,494,-1,-1
733,495,-1,-1
734,496,-1,-1
735,497,-1,-1
736,498,-1,-1
737,499,-1,-1
738,500,-1,-1
738,501,-1,-1
739,502,-1,-1
740,503,-1,-1
741,504,-1,-1
742,-1,-1,-1
743,505,-1,-1
744,506,-1,-1
745,507,-1,-1
746,508,-1,-1
747,-1,-1,-1
748,509,-1,-1
749,-1,-1,-1
750,510,-1,-1
751,511,-1,-1
752,512,-1,-1
753,513,-1,-1
754,-1,-1,-1
755,514,-1,-1
756,-1,-1,-1
757,515,-1,-1
758,516,-1,-1
759,517,-1,-1
760,518,-1,-1
761,-1,-1,-1
762,519,-1,-1
763,-1,-1,-1
764,520,-1,-1
765,521,-1,-1
766,522,-1,-1
767,523,-1,-1
768,524,-1,-1
769,-1,-1,-1
770,525,-1,-1
771,-1,-1,-1
772,-1,-1,-1
773,-1,-1,-1
774,-1,-1,-1
775,-1,-1,-1
776,526,-1,-1
777,527,-1,-1
778,528,-1,-1
779,-1,-1,-1
780,529,-1,-1
781,530,-1,-1
782,531,-1,-1
783,-1,-1,-1
784,532,-1,-1
785,-1,-1,-1
786,-1,-1,-1
787,-1,-1,-1
788,533,-1,-1
789,-1,-1,-1
790,534,-1,-1
791,-1,-1,-1
792,-1,-1,-1
793,-1,-1,-1
794,535,-1,-1
795,-1,-1,-1
796,-1,-1,-1
797,536,-1,-1
798,537,-1,-1
799,-1,-1,-1
800,538,-1,-1
801,-1,-1,-1
802,539,-1,-1
803,-1,-1,-1
804,540,-1,-1
805,541,-1,-1
806,542,-1,-1
807,-1,-1,-1
808,543,-1,-1
809,544,-1,-1
810,545,-1,-1
811,-1,-1,-1
812,546,-1,-1
813,547,-1,-1
814,-1,-1,-1
815,-1,-1,-1
816,548,-1,-1
817,549,-1,-1
818,550,-1,-1
819,-1,-1,-1
820,551,-1,-1
821,-1,-1,-1
822,552,-1,-1
823,-1,-1,-1
824,553,-1,-1
825,554,-1,-1
826,-1,-1,-1
827,555,-1,-1
828,556,-1,-1
829,557,-1,-1
830,558,-1,-1
831,559,-1,-1
832,560,-1,-1
833,561,-1,-1
834,-1,-1,-1
835,-1,-1,-1
836,-1,-1,-1
837,562,-1,-1
838,563,-1,-1
839,-1,-1,-1
840,564,-1,-1
841,565,-1,-1
842,566,-1,-1
843,-1,-1,-1
844,567,-1,-1
845,568,-1,-1
846,-1,-1,-1
847,-1,-1,-1
848,569,-1,-1
849,570,-1,-1
850,571,-1,-1
851,572,-1,-1
852,573,-1,-1
853,-1,-1,-1
854,574,-1,-1
855,575,-1,-1
856,-1,-1,-1
857,576,-1,-1
858,577,-1,-1
859,578,-1,-1
860,579,-1,-1
861,-1,-1,-1
862,580,-1,-1
863,581,-1,-1
864,582,-1,-1
865,583,-1,-1
866,584,-1,-1
867,585,-1,-1
868,586,-1,-1
869,587,-1,-1
870,588,-1,-1
871,-1,-1,-1
872,589,-1,-1
873,-1,-1,-1
874,-1,-1,-1
875,590,-1,-1
876,591,-1,-1
877,-1,-1,-1
878,592,-1,-1
879,593,-1,-1
880,594,-1,-1
881,595,-1,-1
882,596,-1,-1
883,597,-1,-1
884,-1,-1,-1
885,-1,-1,-1
886,-1,-1,-1
887,598,-1,-1
888,-1,-1,-1
